                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2567,                0.64398,                 1.0369,                0.88312,                0.86007,                0.91143,                0.44941,                 1.7358,                0.82993,                 1.3097,             0.00055372,             0.00055372,             0.00055372
                     78,                 1.2279,                0.62778,                 1.0364,                0.88259,                0.86621,                0.91867,                0.45216,                 1.7563,                0.82288,                 1.3369,             0.00054639,             0.00054639,             0.00054639
                     79,                 1.2553,                 0.6434,                 1.0443,                0.85232,                0.87854,                0.91479,                0.45833,                 1.7157,                0.82954,                 1.3223,             0.00053906,             0.00053906,             0.00053906
                     80,                 1.2342,                0.65192,                   1.04,                0.85355,                0.89063,                0.91801,                 0.4563,                  1.715,                0.80498,                 1.3271,             0.00053172,             0.00053172,             0.00053172
                     81,                 1.2349,                 0.6374,                  1.043,                0.88306,                0.86023,                 0.9067,                0.45267,                 1.7199,                0.86211,                 1.3137,             0.00052439,             0.00052439,             0.00052439
                     82,                 1.2298,                0.66063,                 1.0388,                 0.9025,                0.85402,                0.90928,                0.46243,                 1.7335,                0.82989,                  1.307,             0.00051706,             0.00051706,             0.00051706
                     83,                 1.2267,                0.61812,                 1.0303,                 0.9132,                0.86501,                 0.9219,                0.45528,                 1.7585,                0.84654,                 1.3162,             0.00050973,             0.00050973,             0.00050973
                     84,                 1.2269,                0.61867,                 1.0346,                0.91458,                0.82995,                0.90265,                0.44494,                 1.7389,                0.85197,                  1.326,             0.00050239,             0.00050239,             0.00050239
                     85,                 1.2383,                0.62852,                 1.0322,                0.87687,                0.85261,                0.88364,                0.43769,                  1.711,                0.84172,                  1.306,             0.00049506,             0.00049506,             0.00049506
                     86,                 1.2253,                0.63457,                 1.0211,                 0.8771,                0.85628,                0.90008,                 0.4441,                 1.7247,                0.87173,                 1.2928,             0.00048773,             0.00048773,             0.00048773
                     87,                 1.1839,                0.72568,                0.99788,                0.92435,                0.88306,                0.93286,                0.45631,                 1.7459,                0.84547,                 1.3103,              0.0004804,              0.0004804,              0.0004804
                     88,                 1.1971,                0.61523,                 1.0163,                0.87757,                0.89225,                0.91405,                0.45755,                 1.7507,                0.83161,                 1.3405,             0.00047306,             0.00047306,             0.00047306
                     89,                 1.2056,                0.62117,                 1.0175,                0.88405,                0.85232,                0.90703,                0.45689,                 1.7253,                0.84817,                 1.3054,             0.00046573,             0.00046573,             0.00046573
                     90,                  1.188,                0.61249,                 1.0142,                0.88488,                0.87946,                0.91647,                0.45196,                 1.7306,                0.82807,                 1.3206,              0.0004584,              0.0004584,              0.0004584
                     91,                 1.2014,                0.61418,                 1.0105,                0.89816,                0.85781,                0.90874,                0.44771,                 1.7224,                0.84848,                 1.3031,             0.00045107,             0.00045107,             0.00045107
