                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.4748,                0.80226,                 1.0612,                0.85206,                0.82579,                 0.8759,                0.41995,                 1.7626,                 0.8944,                 1.2099,             0.00064171,             0.00064171,             0.00064171
                     66,                 1.4333,                0.80692,                 1.0533,                0.85845,                0.81937,                0.87615,                 0.4159,                 1.8454,                0.90555,                 1.2197,             0.00063438,             0.00063438,             0.00063438
                     67,                 1.4687,                0.80955,                 1.0578,                0.81029,                 0.8675,                0.87333,                0.41264,                 1.7888,                0.87326,                 1.2134,             0.00062705,             0.00062705,             0.00062705
                     68,                 1.4406,                0.80098,                 1.0562,                0.87481,                0.83396,                0.87519,                0.41731,                 1.7574,                0.87936,                 1.2196,             0.00061972,             0.00061972,             0.00061972
                     69,                 1.4308,                0.78333,                 1.0554,                0.90245,                0.83444,                0.88672,                0.42298,                 1.7885,                0.89145,                 1.2103,             0.00061238,             0.00061238,             0.00061238
                     70,                 1.4123,                0.77222,                 1.0583,                0.86947,                0.83575,                0.87869,                0.41489,                 1.8202,                0.83365,                 1.2279,             0.00060505,             0.00060505,             0.00060505
                     71,                 1.4391,                0.78312,                 1.0562,                0.84315,                0.85237,                0.87156,                 0.4165,                 1.7717,                0.88186,                 1.2036,             0.00059772,             0.00059772,             0.00059772
                     72,                 1.4288,                0.76814,                 1.0451,                0.83547,                0.81727,                0.86579,                0.41839,                 1.7277,                 0.8627,                 1.1882,             0.00059039,             0.00059039,             0.00059039
                     73,                 1.4145,                0.78325,                 1.0499,                0.88473,                0.82328,                0.87346,                0.40921,                 1.7947,                0.86928,                 1.2288,             0.00058305,             0.00058305,             0.00058305
                     74,                 1.4197,                0.75934,                 1.0471,                0.90489,                0.81454,                0.86447,                0.40564,                 1.7777,                 0.8651,                 1.2254,             0.00057572,             0.00057572,             0.00057572
                     75,                 1.4125,                0.77413,                 1.0494,                0.87792,                0.82293,                0.87769,                 0.4159,                 1.7715,                0.86324,                 1.2196,             0.00056839,             0.00056839,             0.00056839
                     76,                 1.4164,                0.76121,                 1.0457,                0.83952,                0.86477,                0.88139,                0.43257,                 1.7651,                0.87042,                 1.2008,             0.00056105,             0.00056105,             0.00056105
                     77,                 1.4229,                 0.7718,                 1.0441,                0.89098,                0.83855,                0.90361,                0.43535,                 1.7605,                0.85506,                 1.2079,             0.00055372,             0.00055372,             0.00055372
                     78,                 1.3742,                0.74123,                 1.0386,                 0.8762,                 0.8786,                0.90651,                0.43003,                 1.7601,                0.84697,                 1.1998,             0.00054639,             0.00054639,             0.00054639
