                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.2257,                0.61096,                 1.0982,                0.90107,                0.87984,                0.91886,                0.47083,                 1.6906,                0.76426,                 1.3837,             0.00063438,             0.00063438,             0.00063438
                     67,                 1.2463,                0.61951,                 1.0995,                 0.8561,                0.84558,                  0.908,                0.47781,                  1.666,                0.73959,                 1.3744,             0.00062705,             0.00062705,             0.00062705
                     68,                 1.2228,                0.61702,                 1.0857,                0.89441,                 0.8457,                0.89783,                 0.4577,                 1.7204,                 0.8044,                 1.3836,             0.00061972,             0.00061972,             0.00061972
                     69,                 1.2105,                0.60331,                 1.0854,                0.87714,                 0.8771,                0.90929,                0.44807,                 1.6821,                0.81717,                 1.3661,             0.00061238,             0.00061238,             0.00061238
                     70,                 1.2079,                0.59949,                 1.0998,                0.87582,                 0.8916,                0.92962,                0.46024,                 1.7224,                0.77538,                 1.3805,             0.00060505,             0.00060505,             0.00060505
                     71,                 1.2017,                0.59405,                 1.0822,                0.89684,                0.85763,                0.91569,                0.45553,                 1.7097,                0.80719,                 1.3835,             0.00059772,             0.00059772,             0.00059772
                     72,                 1.1882,                0.58606,                   1.08,                 0.9019,                0.84783,                0.90884,                0.46687,                 1.7118,                0.78558,                 1.4015,             0.00059039,             0.00059039,             0.00059039
                     73,                  1.183,                 0.5901,                 1.0751,                0.89817,                0.90547,                0.92984,                 0.4718,                 1.6931,                0.76563,                 1.3838,             0.00058305,             0.00058305,             0.00058305
                     74,                 1.1758,                0.57776,                 1.0761,                0.90862,                0.85242,                0.90538,                0.45972,                 1.7203,                0.76322,                 1.4123,             0.00057572,             0.00057572,             0.00057572
                     75,                 1.1859,                0.58883,                 1.0822,                 0.9224,                0.87252,                0.92689,                0.46959,                 1.7093,                0.77239,                  1.386,             0.00056839,             0.00056839,             0.00056839
                     76,                 1.1787,                0.58695,                 1.0762,                0.92458,                0.85335,                0.91646,                0.45533,                  1.685,                0.75839,                 1.3858,             0.00056105,             0.00056105,             0.00056105
                     77,                   1.18,                0.59085,                 1.0716,                0.89753,                0.88671,                0.92274,                 0.4589,                  1.696,                0.77842,                 1.4028,             0.00055372,             0.00055372,             0.00055372
                     78,                 1.1464,                0.56431,                 1.0682,                 0.9293,                0.85899,                0.92056,                0.45702,                 1.6925,                0.75497,                  1.374,             0.00054639,             0.00054639,             0.00054639
                     79,                 1.1655,                0.57903,                 1.0732,                0.93066,                0.88225,                0.92595,                 0.4588,                 1.7155,                0.76714,                 1.4131,             0.00053906,             0.00053906,             0.00053906
                     80,                 1.1562,                0.58225,                 1.0613,                0.91928,                0.86642,                0.91541,                  0.463,                 1.6927,                 0.7499,                 1.4015,             0.00053172,             0.00053172,             0.00053172
                     81,                 1.1486,                0.57302,                 1.0701,                 0.8942,                0.87487,                 0.9134,                0.45214,                 1.7089,                0.76328,                 1.4001,             0.00052439,             0.00052439,             0.00052439
                     82,                  1.138,                0.59095,                 1.0767,                0.92172,                0.86065,                0.93191,                0.47233,                 1.6876,                0.74042,                 1.3991,             0.00051706,             0.00051706,             0.00051706
                     83,                 1.1348,                0.55115,                 1.0599,                0.91045,                0.87591,                0.92123,                 0.4815,                 1.6746,                0.74895,                 1.3845,             0.00050973,             0.00050973,             0.00050973
                     84,                 1.1234,                0.54968,                 1.0459,                0.93498,                0.86205,                0.93036,                0.47341,                 1.7042,                0.80932,                 1.4193,             0.00050239,             0.00050239,             0.00050239
